MatchID,Longitude,Latitude,Street,Building,Bike Capacity,Rack Style,Weather Coverage,Notes
87,-79.99952278,40.44034194,5th Ave,"",2,"",Outdoor,""
88,-79.9991291,40.43920071,Smithfield St,"",2,"",Outdoor,""
89,-79.99930741,40.43893505,Smithfield St,"",2,"",Outdoor,""
90,-80.00038334,40.43733521,Smithfield St,"",2,"",Outdoor,""
91,-80.00024005,40.43752869,Smithfield St,"",2,"",Outdoor,""
92,-80.00057253,40.43702166,Smithfield St,"",2,"",Outdoor,""
93,-79.99700344,40.43888358,Grant St,"",2,"",Outdoor,""
94,-79.9977636,40.43772944,Grant St,"",2,"",Outdoor,""
96,-79.99717304,40.43835589,Grant St,City-County Building,10,"",Indoor/Covered,in atrium
95,-79.99729203,40.43818196,Grant St,City-County Building,10,"",Indoor/Covered,in atrium
97,-79.99631559,40.44033616,Grant St,"",2,"",Outdoor,""
109,-80.000298,40.44007677,PNC Tower,PNC Tower garage,92,Standing & Hanging Racks,Indoor/Covered,"inside garage, mult locations"
98,-80.00098604,40.44202577,Liberty Ave,One PNC,2,Public Art,Outdoor,""
99,-80.00217083,40.4430324,6th St,India Palace Cuisine,2,Public Art,Outdoor,""
100,-80.00140267,40.44301161,Penn Ave,Meat & Potatoes,2,Public Art,Outdoor,""
101,-80.0015046,40.44298102,Penn Ave,Pittsburgh Public Theater,2,Public Art,Outdoor,""
102,-80.00043256,40.44310917,Penn Ave,Penn and 7th St,2,Public Art,Outdoor,""
103,-80.00027802,40.44352692,7th St,Across Katz,2,Public Art,Outdoor,""
104,-80.00066503,40.44390552,7th St,Social House,2,Public Art,Outdoor,""
105,-79.99709649,40.44399642,Penn Ave,Seviche,2,Public Art,Outdoor,""
106,-79.99686456,40.44405813,Penn Ave,Sienna Mercato,2,Public Art,Outdoor,""
107,-79.99666021,40.44410501,Penn Ave,August Henry's,2,Public Art,Outdoor,""
108,-79.99861347,40.44373809,Penn Ave,Future Tenant,2,Public Art,Outdoor,""
110,-79.99628825,40.44650746,10th St,DLCC,3,Wave,Indoor/Covered,""
111,-79.99680122,40.44635924,10th St,DLCC,3,Wave,Indoor/Covered,""
112,-79.99742435,40.44230695,Smithfield St,Smithfield St Garage,22,3 Rivers Design,Indoor/Covered,""
113,-79.99871197,40.44513624,Fort Duquesne Blvd,CAPA,8,Multi,Outdoor,""
114,-80.00635549,40.44268233,Gateway Center,Gateway Center,4,Wheel-Only,Outdoor,""
115,-80.00727545,40.44243793,Gateway Center,Gateway Center,8,Wheel-Only,Outdoor,""
116,-80.00931224,40.44258881,Point State Park,"",12,U-Rack,Outdoor,near Fort Duquesne Bridge
117,-80.01225291,40.44213203,Point State Park,"",10,Multi,Outdoor,near fountain
118,-80.00938049,40.44113349,Point State Park,"",10,Multi,Outdoor,outside Fort Pitt Museum entrance
119,-80.01024487,40.44062795,Point State Park,"",12,U-Rack,Outdoor,"behind Fort Pitt Museum, blockhouse side"
